awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
International Society for Optics and Photonics (SPIE),SPIE Fellow,"Bigio, Irving J.",2011,"BIGIO, IRVING J",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Irving Bigio,2002,"BIGIO, IRVING J",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,"Bigio, Irving J.",1997,"BIGIO, IRVING J",Boston University,Prestigious,2024-12-06
"Optical Society of America, The (OSA)",The Joseph W Goodman Book Writing Award,Irving J. Bigio,2020,"BIGIO, IRVING J",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Lucia Vaina,2005,"VAINA, LUCIA M",Boston University,Not Designated,2024-12-06
Operational Research Society,Companion of O.R.,S Vajda,1995,"VAJDA, SANDOR",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Sandor Vajda,2014,"VAJDA, SANDOR",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"VAJDA, SANDOR",2016,"VAJDA, SANDOR",Boston University,Not Designated,2024-12-06
Society of Behavioral Medicine,Deborah J. Bowen Early Career Investigator Award,Monica L. Wang,2016,"WANG, MONICA L",Boston University,Not Designated,2024-12-06
Society of Behavioral Medicine,Leading the Narrative Award,Monica Wang,2022,"WANG, MONICA L",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"FLYNN, RACHEL L",2012,"FLYNN, RACHEL LITMAN",Boston University,Not Designated,2024-12-06
"Edward Mallinckrodt, Jr. Foundation",Mallinckrodt Grants,Rachel Flynn,2015,"FLYNN, RACHEL LITMAN",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),KARIN  SCHON,2010,"SCHON, KARIN",Boston University,Not Designated,2024-12-06
Searle Scholars,Searle Scholars,Neil Ganem,2015,"GANEM, NEIL J",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"GANEM, NEIL J",2011,"GANEM, NEIL J",Boston University,Not Designated,2024-12-06
Health Resources in Action,Smith Family Awards Program for Excellence in Biomedical Research,Neil Joseph Ganem,2014,"GANEM, NEIL J",Boston University,Not Designated,2024-12-06
Melanoma Research Alliance,Young Investigator Award,Neil Joseph Ganem,2015,"GANEM, NEIL J",Boston University,Not Designated,2024-12-06
Association of Schools and Programs of Public Health,ASPPH Early Career Teaching Excellence Award,Jessica H. Leibler,2017,"LEIBLER, JESSICA",Boston University,Not Designated,2024-12-06
International Society for Autism Research,Lifetime Achievement Award,Margaret L. Bauman,2011,"BAUMAN, MARGARET LANG",Boston University,Not Designated,2024-12-06
International Society for Autism Research,INSAR Fellow,Margaret Bauman,2018,"BAUMAN, MARGARET LANG",Boston University,Not Designated,2024-12-06
Journal of Financial and Quantitative Analysis,William F. Sharpe Award,Dirk Hackbarth,2021,"HACKBARTH, DIRK",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Steven Sandage,2018,"SANDAGE, STEVEN",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Steven Sandage,2020,"SANDAGE, STEVEN",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Alice E. White,2013,"WHITE, ALICE",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Alice White,2011,"WHITE, ALICE",Boston University,Not Designated,2024-12-06
American Physical Society,Maria Goeppert Mayer Award,Alice E. White,1991,"WHITE, ALICE",Boston University,Prestigious,2024-12-06
American Physical Society,APS Fellow,"White, Alice Elizabeth",1995,"WHITE, ALICE",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Tyler K. Perrachione,2015,"PERRACHIONE, TYLER",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Chemistry,Ksenia Bravaya,2020,"BRAVAYA, KSENIA",Boston University,Prestigious,2024-12-06
Google,Google Faculty Research Award,Georgios Zervas,2014,"ZERVAS, GEORGIOS",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Georgios Zervas,2019,"ZERVAS, GEORGIOS",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Scholars,Georgios Zervas,2022,"ZERVAS, GEORGIOS",Boston University,Not Designated,2024-12-06
American Political Science Association,Democracy and Autocracy Section/Juan Linz Best Dissertation Award,Rosella Capella Zielinski,2017,"CAPPELLA, ROSELLA",Boston University,Not Designated,2024-12-06
American Political Science Association,International History and Politics Section/Robert L. Jervis and Paul W. Schroeder Best Book Award,Rosella Capella Zielinski,2017,"CAPPELLA, ROSELLA",Boston University,Not Designated,2024-12-06
American Association of University Women (AAUW),American Fellowship,Ana Mar?a Reyes,2010,"REYES, ANA MARIA",Boston University,Prestigious,2024-12-06
Society for Social Work and Research,SSWR Fellow,Astraea Augsberger,2024,"AUGSBERGER, ASTRAEA",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Harris, Joseph",2017,"HARRIS, JOSEPH",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Dennis, Allison M.",2002,"DENNIS, ALLISON",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,Allison Dennis,2021,"DENNIS, ALLISON",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Allison Dennis,2021,"DENNIS, ALLISON",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,Allison Dennis,2022,"DENNIS, ALLISON",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,Allison Dennis,2023,"DENNIS, ALLISON",Boston University,Not Designated,2024-12-06
National Council of Teachers of English,Alan C Purves Award,Katherine K. Frankel,2017,"FRANKEL, KATHERINE",Boston University,Not Designated,2024-12-06
Emerald Publishing,Outstanding Author Contributions,Katherine K. Frankel,2014,"FRANKEL, KATHERINE",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Catherine Espaillat,2016,"ESPAILLAT, CATHERINE",Boston University,Prestigious,2024-12-06
National Aeronautics and Space Administration (NASA),Sagan/Michelson Postdoctoral Fellowship,Catherine Espaillat,2012,"ESPAILLAT, CATHERINE",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Catherine Espaillat,2016,"ESPAILLAT, CATHERINE",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Catherine C Espaillat,2015,"ESPAILLAT, CATHERINE",Boston University,Prestigious,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Espaillat, Catherine",2015,"ESPAILLAT, CATHERINE",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Catherine C. Espaillat,2022,"ESPAILLAT, CATHERINE",Boston University,Prestigious,2024-12-06
Simons Foundation,Simons Investigators,Kirill Korolev,2016,"KOROLEV, KIRILL",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Cottrell Scholar Awards,"Korolev, Kirill",2017,"KOROLEV, KIRILL",Boston University,Prestigious,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Korolev, Kirill?",2017,"KOROLEV, KIRILL",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Kirill Korolev,2018,"KOROLEV, KIRILL",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Kirill Korolev,2017,"KOROLEV, KIRILL",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Kirill S Korolev,2020,"KOROLEV, KIRILL",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Vivek Goyal,2014,"GOYAL, VIVEK",Boston University,Not Designated,2024-12-06
IEEE Signal Processing Society,Distinguished Lecturer,Vivek K. Goyal,2017,"GOYAL, VIVEK",Boston University,Not Designated,2024-12-06
IEEE Signal Processing Society,Best Paper Award,Vivek K Goyal,2017,"GOYAL, VIVEK",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Vivek K Goyal,2007,"GOYAL, VIVEK",Boston University,Prestigious,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Vivek K Goyal,2020,"GOYAL, VIVEK",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Vivek K Goyal,2022,"GOYAL, VIVEK",Boston University,Prestigious,2024-12-06
IEEE Signal Processing Society,Best Paper Award,Vivek K Goyal,2019,"GOYAL, VIVEK",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Vivek K. Goyal,2024,"GOYAL, VIVEK",Boston University,Highly Prestigious,2024-12-06
National Institutes of Health (NIH),Office Of Disease Prevention (ODP)/Early Stage Investigator Lecture,Jacob Bor,2018,"BOR, JACOB",Boston University,Not Designated,2024-12-06
Western Finance Association,PhD Candidate Awards for Outstanding Research,Andrea Vedolin,2010,"VEDOLIN, ANDREA",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Andrea Vedolin,2019,"VEDOLIN, ANDREA",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Andrea Vedolin??????,2020,"VEDOLIN, ANDREA",Boston University,Not Designated,2024-12-06
Society for Epidemiologic Research,Tyroler Student Prize Paper Award,Jaimie Gradus,2009,"GRADUS, JAIMIE",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Natalia Ramondo,2015,"RAMONDO, NATALIA",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Natalia Ramondo,2020,"RAMONDO, NATALIA",Boston University,Not Designated,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Patricia Hibberd,2014,"HIBBERD, PATRICIA LAVONNE",Boston University,Not Designated,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Patricia Hibberd,2015,"HIBBERD, PATRICIA LAVONNE",Boston University,Not Designated,2024-12-06
American Marketing Association,Paul E. Green Award,Garrett A. Johnson,2017,"JOHNSON, GARRETT",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Garrett Johnson,2021,"JOHNSON, GARRETT",Boston University,Not Designated,2024-12-06
American Marketing Association,Weitz-Winer-O'Dell Award,Garrett A. Johnson,2022,"JOHNSON, GARRETT",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Marketing Science Society/John D. C. Little Award,Garrett A. Johnson,2020,"JOHNSON, GARRETT",Boston University,Not Designated,2024-12-06
American Society of Mechanical Engineers (ASME),Fellow,"Zhang, Xin",2015,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Xin Zhang,2016,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Xin Zhang,2016,"ZHANG, XIN",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Xin Zhang,2016,"ZHANG, XIN",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Zhang, Xin",2003,"ZHANG, XIN",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Xin Zhang,2017,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Xin Zhang,2007,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
National Academy of Inventors,NAI Fellow,"Zhang, Xin",2019,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Zhang, Xin",2019,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),Sensors Council/Technical Achievement Award,Xin Zhang,2016,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
National Academy of Engineering,EU-US Frontiers of Engineering Participant,Xin Zhang,2011,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
National Academy of Engineering,EU-US Frontiers of Engineering Participant,Xin Zhang,2007,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Xin Zhang,2022,"ZHANG, XIN",Boston University,Highly Prestigious,2024-12-06
American Society of Mechanical Engineers (ASME),Per Bruel Gold Medal for Noise Control and Acoustics,Xin Zhang,2023,"ZHANG, XIN",Boston University,Prestigious,2024-12-06
European Academy of Sciences and Arts,Member,"Zhang, Xin",1900,"ZHANG, XIN",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"Zhang, Huiping",2007,"ZHANG, HUIPING",Boston University,Not Designated,2024-12-06
American Psychological Association,"Division 10-Society for the Psychology of Aesthetics, Creativity and the Arts/Rudolf Arnheim Award for Outstanding Achievement in Psychology and the Arts",Lisa Smith,2013,"SMITH, LISA",Boston University,Not Designated,2024-12-06
American Psychological Association,"Division 10-Society for the Psychology of Aesthetics, Creativity and the Arts/Farnsworth Award",Lisa Smith,2008,"SMITH, LISA",Boston University,Not Designated,2024-12-06
American Psychological Association,"Division 10-Society for the Psychology of Aesthetics, Creativity and the Arts/Farnsworth Award",Lisa Smith,2012,"SMITH, LISA",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,"Smith, Lisa F",2011,"SMITH, LISA",Boston University,Prestigious,2024-12-06
Alex's Lemonade Stand Foundation for Childhood Cancer,Psychosocial Grants,Kristin Long,2014,"LONG, KRISTIN",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 54-Society of Pediatric Psychology-Routh Early Career Award in Pediatric Psychology,Kristin A. Long,2021,"LONG, KRISTIN",Boston University,Not Designated,2024-12-06
Health Resources in Action,Deborah Munroe Noonan Memorial Research Fund,Kristin Long,2021,"LONG, KRISTIN",Boston University,Not Designated,2024-12-06
American Philosophical Society,Library Short-Term Resident Research Fellowship,Andrew Bell,2017,"BELL, ANDREW",Boston University,Not Designated,2024-12-06
American Political Science Association,State Politics and Policy Section/Best Paper Award,Spencer Piston,2010,"PISTON, SPENCER",Boston University,Not Designated,2024-12-06
American Political Science Association,Political Psychology Section/Distinguished Junior Scholar Award,Spencer Piston,2012,"PISTON, SPENCER",Boston University,Not Designated,2024-12-06
American Philosophical Society,Lewis and Clark Fund Field Scholars,"Talbot, Jennifer",2007,"BHATNAGAR, JENNIFER",Boston University,Not Designated,2024-12-06
Ecological Society of America,Murray F. Buell Award,Jennifer M. Talbot,2011,"BHATNAGAR, JENNIFER",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Computer Science,Emily Whiting,2019,"WHITING, EMILY",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Emily  Whiting,2021,"WHITING, EMILY",Boston University,Prestigious,2024-12-06
Prostate Cancer Foundation,Young Investigator Award,Christopher Heaphy,2014,"HEAPHY, CHRISTOPHER",Boston University,Not Designated,2024-12-06
Wenner-Gren Foundation,Dissertation Fieldwork Grant,"Hodges-Simeon, Carolyn Randolph",2010,"HODGES-SIMEON, CAROLYN",Boston University,Not Designated,2024-12-06
Wenner-Gren Foundation,Post-Ph.D. Research Grant,"Hodges-Simeon, Carolyn Randolph",2019,"HODGES-SIMEON, CAROLYN",Boston University,Not Designated,2024-12-06
National Aeronautics and Space Administration (NASA),Hubble Fellows,Philip Muirhead,2013,"MUIRHEAD, PHILIP",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Muirhead, Philip",2015,"MUIRHEAD, PHILIP",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Manuel Egele,2018,"EGELE, MANUEL",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Manuel  Egele,2020,"EGELE, MANUEL",Boston University,Prestigious,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Adam Guren,2019,"GUREN, ADAM",Boston University,Not Designated,2024-12-06
The American Real Estate and Urban Economics Association,Homer Hoyt Doctoral Dissertation Award,Adam Guren,2014,"GUREN, ADAM",Boston University,Not Designated,2024-12-06
Department of Energy,Early Career Research Award,Sahar?Sharifzadeh,2017,"SHARIFZADEH, SAHAR",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Sahar  Sharifzadeh,2019,"SHARIFZADEH, SAHAR",Boston University,Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Karl Kirchwey,1994,"KIRCHWEY, KARL",Boston University,Highly Prestigious,2024-12-06
MacDowell Colony,MacDowell Fellowships,Karl Kirchwey,1988,"KIRCHWEY, KARL",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Peri, Alexis J.",2007,"PERI, ALEXIS",Boston University,Not Designated,2024-12-06
Woodrow Wilson Center for Scholars,Wilson Center Experts,Alexis Peri,2017,"PERI, ALEXIS",Boston University,Prestigious,2024-12-06
American Philosophical Society,Franklin Grants,Alexis Peri,2016,"PERI, ALEXIS",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),Andrew W Mellon/ACLS Dissertation Completion Fellowships,Noora Anwar Lori,2012,"LORI, NOORA",Boston University,Highly Prestigious,2024-12-06
International Studies Association,ENMISA Distinguished Book Award,Noora Lori,2021,"LORI, NOORA",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Noora Lori,2022,"LORI, NOORA",Boston University,Not Designated,2024-12-06
American Political Science Association,Heinz I. Eulau Award,Maxwell Palmer,2020,"PALMER, MAXWELL",Boston University,Not Designated,2024-12-06
Dirksen Congressional Center,Congressional Research Grant,"Palmer, Maxwell",2013,"PALMER, MAXWELL",Boston University,Not Designated,2024-12-06
"Ucross Foundation, The",Ucross Foundation Residency,Kirsten Greenidge,1900,"GREENIDGE, KIRSTEN",Boston University,Not Designated,2024-12-06
"Kennedy Center, The",Lorraine Hansberry Playwriting Award,Kirsten Greenidge,2002,"GREENIDGE, KIRSTEN",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Benjamin Robert Siegel,2017,"SIEGEL, BENJAMIN",Boston University,Highly Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Computational & Evolutionary Molecular Biology,Alexander A. Green,2017,"GREEN, ALEXANDER",Boston University,Prestigious,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Alexander Green,2016,"GREEN, ALEXANDER",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Director?s New Innovator Award (DP2),"GREEN, ALEXANDER ARTHUR",2017,"GREEN, ALEXANDER",Boston University,Not Designated,2024-12-06
Department of Defense (DOD),Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA),Alexander Green,2017,"GREEN, ALEXANDER",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,"Green, Alexander",2018,"GREEN, ALEXANDER",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Alexander Green,2021,"GREEN, ALEXANDER",Boston University,Not Designated,2024-12-06
Louisville Institute,Sabbatical Grant for Researchers,Claire Elizabeth Wolfteich,2011,"WOLFTEICH, CLAIRE",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Luca Dal Negro,2018,"DAL NEGRO, LUCA",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Luca Dal Negro,2009,"DAL NEGRO, LUCA",Boston University,Prestigious,2024-12-06
American Public Health Association,Jay S Drotman Memorial Award,Carlos Rodriguez-Diaz,2010,"RODRIGUEZ-DIAZ, CARLOS E",Boston University,Prestigious,2024-12-06
American Pharmacists Association,"Wiederholt Prize for Best Published Paper Award for Economic, Social and Administrative Sciences (ESAS)",Carlos E. Rodr?guez-D?az,2022,"RODRIGUEZ-DIAZ, CARLOS E",Boston University,Not Designated,2024-12-06
American Public Health Association,Lyndon Haviland Public Health Mentoring Award,Carlos E. Rodriguez-Diaz,2018,"RODRIGUEZ-DIAZ, CARLOS E",Boston University,Not Designated,2024-12-06
Academy of Management,Strategic Management Division/Distinguished Student Paper Award,Douglas Hannah,2015,"HANNAH, DOUGLAS",Boston University,Not Designated,2024-12-06
Academy of Management,Strategic Management Division/AOM Annual Meeting Proceedings Best Papers,"Hannah, Douglas",2018,"HANNAH, DOUGLAS",Boston University,Not Designated,2024-12-06
Industry Studies Association,Emerging Scholar in Innovation and Entrepreneurship Award,Douglas P. Hannah,2022,"HANNAH, DOUGLAS",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"WUNDERLICH, ZEBA B",2012,"WUNDERLICH, ZEBA",Boston University,Not Designated,2024-12-06
Jane Coffin Childs Memorial Fund for Medical Research,Jane Coffin Childs Fellowship,Zeba Wunderlich,1900,"WUNDERLICH, ZEBA",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Dokyun Lee,2021,"LEE, DOKYUN",Boston University,Not Designated,2024-12-06
Institute for Operations Research and the Management Sciences (INFORMS),Information Systems Society/Sandra A. Slaughter Early Career Award,Dokyun Lee,2023,"LEE, DOKYUN",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Marco G Gaboardi,2019,"GABOARDI, MARCO",Boston University,Prestigious,2024-12-06
Google,Google Faculty Research Award,Marco Gaboardi,2019,"GABOARDI, MARCO",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Nicolette Manglos,2012,"MANGLOS WEBER, NICOLETTE",Boston University,Not Designated,2024-12-06
Siebel Scholars Foundation,Siebel Scholars,Archana Venkataraman,2008,"VENKATARAMAN, ARCHANA",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Archana  Venkataraman,2019,"VENKATARAMAN, ARCHANA",Boston University,Prestigious,2024-12-06
Massachusetts Institute of Technology,MIT Technology Review/Innovators Under 35/Global,Archana Venkataraman,2019,"VENKATARAMAN, ARCHANA",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Archana Venkataraman,2021,"VENKATARAMAN, ARCHANA",Boston University,Not Designated,2024-12-06
Bill and Melinda Gates Foundation,Gates Global Grand Challenges,Elaine Nsoesie,2024,"NSOESIE, ELAINE O",Boston University,Not Designated,2024-12-06
AcademyHealth,Public Voices Fellowship,Elaine Nsoesie,2023,"NSOESIE, ELAINE O",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Francesco Orabona,2016,"ORABONA, FRANCESCO",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Francesco  Orabona,2021,"ORABONA, FRANCESCO",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"MEDALLA, MARIA",2013,"MEDALLA, MARIA L A",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"CIFUENTES, DANIEL",2013,"CIFUENTES BUIRA, DANIEL",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Alberto Cruz-Mart?n,2018,"CRUZ-MARTIN, ALBERTO",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"GAVORNIK, JEFFERY PETER",2013,"GAVORNIK, JEFFREY",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"NGO, JOHN TUAN",2018,"NGO, JOHN",Boston University,Not Designated,2024-12-06
CurePSP,CurePSP Research Grants/Venture Grant,William Johnson,1998,"JOHNSON, WILLIAM EVAN",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),AHA Fellows and International Fellows (FAHA),Vanessa Xanthakis,2019,"XANTHAKIS, VANESSA",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Director?s New Innovator Award (DP2),"VEGAS, ARTURO",2016,"VEGAS, ARTURO",Boston University,Not Designated,2024-12-06
Council for Exceptional Children,Division for Research/Student Research Award,Elizabeth Bettini,2016,"BETTINI, ELIZABETH",Boston University,Not Designated,2024-12-06
American Educational Research Association (AERA),Outstanding Reviewer,Elizabeth Bettini,2019,"BETTINI, ELIZABETH",Boston University,Not Designated,2024-12-06
American Educational Research Association (AERA),Outstanding Reviewer,Elizabeth Bettini,2020,"BETTINI, ELIZABETH",Boston University,Not Designated,2024-12-06
Council for Exceptional Children,Division for Research/Distinguished Early Career Research Award,Elizabeth Bettini,2023,"BETTINI, ELIZABETH",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Martin Fiszbein,2016,"FISZBEIN, MARTIN",Boston University,Not Designated,2024-12-06
University of Minnesota,Minneapolis Population Center/IPUMS Research Award,Martin Fiszbein,2022,"FISZBEIN, MARTIN",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Stephen Terry,2021,"TERRY, STEPHEN",Boston University,Not Designated,2024-12-06
"National Academies, The",Christine Mirzayan Science and Technology Policy Graduate Fellowship Program,Austin Frakt,1998,"FRAKT, AUSTIN B",Boston University,Not Designated,2024-12-06
Health Services Research,John M. Eisenberg Article-of-the-Year Award,Austin B. Frakt,2014,"FRAKT, AUSTIN B",Boston University,Not Designated,2024-12-06
American Chemical Society,PRF (Petroleum Research Fund)/Doctoral New Investigator Grant,Keith A. Brown,2016,"BROWN, KEITH",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Keith A. Brown,2017,"BROWN, KEITH",Boston University,Not Designated,2024-12-06
National Academy of Engineering,China-America Frontiers of Engineering Participant,Dr. Keith A. Brown,2022,"BROWN, KEITH",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Solesne Bourguin,2019,"BOURGUIN, SOLESNE",Boston University,Not Designated,2024-12-06
Simons Foundation,Travel Support for Mathematicians Award,Solesne Bourguin,2019,"BOURGUIN, SOLESNE",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Siu-Cheong Lau,2018,"LAU, SIU-CHEONG",Boston University,Not Designated,2024-12-06
Simons Foundation,Travel Support for Mathematicians Award,Siu-Cheong Lau,2018,"LAU, SIU-CHEONG",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Brian M Walsh,2019,"WALSH, BRIAN",Boston University,Prestigious,2024-12-06
"Getty Foundation, The",Getty Research Institute-Library Research Grants,"Kaneda, Miki",2010,"KANEDA, MIKI",Boston University,Not Designated,2024-12-06
American Psychological Foundation,Visionary Grant,Daniel Fulford,2020,"FULFORD, DANIEL",Boston University,Not Designated,2024-12-06
