awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
Princeton University,University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships,Elizabeth Cohen,2022,"COHEN, ELIZABETH F",Boston University,Prestigious,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Robert Andrew Chodat,2014,"CHODAT, ROBERT A",Boston University,Highly Prestigious,2024-12-06
Alexander Von Humboldt Foundation,Humboldt Research Fellowship,Robert Chodat,2006,"CHODAT, ROBERT A",Boston University,Prestigious,2024-12-06
American Academy of Arts and Sciences,Visiting Scholar,Robert Chodat,2003,"CHODAT, ROBERT A",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,H. Steven Colburn,2000,"COLBURN, H STEVEN",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Silver Medal,H. Steven Colburn,2004,"COLBURN, H STEVEN",Boston University,Prestigious,2024-12-06
Association for Research in Otolaryngology,ARO Award of Merit,H. Steven Colburn,2014,"COLBURN, H STEVEN",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Fellow,"Colburn, H. Steven",1991,"COLBURN, H STEVEN",Boston University,Not Designated,2024-12-06
Fromm Music Foundation,Commission/Fellowship,Richard Cornell,2016,"CORNELL, RICHARD",Boston University,Not Designated,2024-12-06
Corporation of Yaddo,Yaddo Residency,Richard Cornell,1900,"CORNELL, RICHARD",Boston University,Not Designated,2024-12-06
MacDowell Colony,MacDowell Fellowships,Richard Cornell,1987,"CORNELL, RICHARD",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Cutler Cleveland,2009,"CLEVELAND, CUTLER",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Chemistry,Qiang Cui,2004,"CUI, QIANG",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Cui, Qiang",2004,"CUI, QIANG",Boston University,Prestigious,2024-12-06
Chinese-American Chemistry and Chemical Biology Professors Association,Distinguished Faculty Award,Qiang Cui,2010,"CUI, QIANG",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Qiang Cui,2010,"CUI, QIANG",Boston University,Not Designated,2024-12-06
The Camille and Henry Dreyfus Foundation,Machine Learning in the Chemical Sciences and Engineering Award,Qiang Cui,2021,"CUI, QIANG",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"CUI, QIANG ",2021,"CUI, QIANG",Boston University,Not Designated,2024-12-06
American Chemical Society,ACS Fellow,Qiang Cui,2023,"CUI, QIANG",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),Charles A Ryskamp Research Fellows,Jodi Cranston,2003,"CRANSTON, JODI",Boston University,Not Designated,2024-12-06
